אאבד	plain	איבד
אאבזר	plain	אבזר
אאבחן	plain	אבחן
אאבטח	plain	אבטח
אאביס	plain	האביס
אאביק	plain	האביק
אאבל	plain	אבל
אאבן	plain	איבן
אאבק	plain	איבק
אאגד	plain	איגד
אאגור	plain	אגר
אאגם	plain	איגם
אאגף	plain	איגף
אאגרף	plain	אגרף
אאדה	plain	אידה
אאדים	plain	האדים
אאדיר	plain	האדיר
אאהוד	plain	אהד
אאהיב	plain	האהיב
אאהיל	plain	האהיל
אאובזר	plain	אובזר
אאובחן	plain	אובחן
אאובטח	plain	אובטח
אאובן	plain	אובן
אאובק	plain	אובק
אאוגד	plain	אוגד
אאוגף	plain	אוגף
אאוגרף	plain	אוגרף
אאודה	plain	אודה
אאוורר	plain	אוורר
אאוזכר	plain	אוזכר
אאוזן	plain	אוזן
אאוזרח	plain	אוזרח
אאוחד	plain	אוחד
אאוחה	plain	אוחה
אאוחזר	plain	אוחזר
אאוחל	plain	אוחל
אאוחסן	plain	אוחסן
אאוחר	plain	אוחר
אאויד	plain	אויד
אאוים	plain	אוים
אאוין	plain	אוין
אאויר	plain	אויר
אאויש	plain	אויש
אאוית	plain	אוית
אאוכזב	plain	אוכזב
אאוכל	plain	אוכל
אאוכלס	plain	אוכלס
אאוכן	plain	אוכן
אאולחש	plain	אולחש
אאולף	plain	אולף
אאולץ	plain	אולץ
אאולתר	plain	אולתר
אאומלל	plain	אומלל
אאומן	plain	אומן
אאומץ	plain	אומץ
אאומת	plain	אומת
אאונן	plain	אונן
אאוסלם	plain	אוסלם
אאופיין	plain	אופיין
אאופנן	plain	אופנן
אאופס	plain	אופס
אאופר	plain	אופר
אאוץ	plain	אץ
אאורגן	plain	אורגן
אאורכב	plain	אורכב
אאושפז	plain	אושפז
אאושר	plain	אושר
אאושרר	plain	אושרר
אאושש	plain	אושש
אאותגר	plain	אותגר
אאותחל	plain	אותחל
אאותר	plain	אותר
אאותת	plain	אותת
אאזוק	plain	אזק
אאזור	plain	אזר
אאזין	plain	האזין
אאזכר	plain	אזכר
אאזל	plain	אזל
אאזן	plain	איזן
אאזרח	plain	אזרח
אאחד	plain	איחד
אאחה	plain	איחה
אאחז	plain	איחז
אאחזר	plain	אחזר
אאחיד	plain	האחיד
אאחל	plain	איחל
אאחסן	plain	אחסן
אאחר	plain	איחר
אאטום	plain	אטם
אאייד	plain	אייד
אאיים	plain	איים
אאיין	plain	איין
אאייר	plain	אייר
אאייש	plain	אייש
אאיית	plain	איית
אאיץ	plain	האיץ
אאיר	plain	האיר
אאכוף	plain	אכף
אאכזב	plain	אכזב
אאכיל	plain	האכיל
אאכל	plain	איכל
אאכלס	plain	אכלס
אאכן	plain	איכן
אאלחש	plain	אלחש
אאלף	plain	אילף
אאלץ	plain	אילץ
אאלתר	plain	אלתר
אאמוד	plain	אמד
אאמין	plain	האמין
אאמיר	plain	האמיר
אאמלל	plain	אמלל
אאמן	plain	אימן
אאמץ	plain	אימץ,אמץ
אאמת	plain	אימת
אאנגלז	plain	אנגלז
אאנוס	plain	אנס
אאניש	plain	האניש
אאנפף	plain	אנפף
אאסוף	plain	אסף
אאסור	plain	אסר
אאסלם	plain	אסלם
אאפוף	plain	אפף
אאפיין	plain	אפיין
אאפיל	plain	האפיל
אאפיר	plain	האפיר
אאפנן	plain	אפנן
אאפס	plain	איפס
אאפר	plain	איפר
אאפשר	plain	אפשר
אאצור	plain	אצר
אאציל	plain	האציל
אארגן	plain	ארגן
אארוב	plain	ארב
אארוג	plain	ארג
אארוז	plain	ארז
אארח	plain	אירח
אאריך	plain	האריך
אאריק	plain	האריק
אארכב	plain	ארכב
אארס	plain	אירס
אאשים	plain	האשים
אאשם	plain	אשם
אאשפז	plain	אשפז
אאשר	plain	אישר
אאשרר	plain	אשרר
אאשש	plain	אישש
אאתגר	plain	אתגר
אאתחל	plain	אתחל
אאתר	plain	איתר
אבאיש	plain	הבאיש
אבאס	plain	ביאס
אבאר	plain	ביאר
אבאש	plain	באש,נבאש
אבגד	plain	נבגד
אבגוד	plain	בגד
אבגר	plain	ביגר
אבדה	base	אבד,אבדה,בדה,בידה
אבדו	plain	אבד,איבד
אבדון	base	אבדון
אבדונה	bound	אבדון
אבדונו	bound	אבדון
אבדוני	bound	אבדון
אבדוניה	bound	אבדון
אבדוניהם	bound	אבדון
אבדוניהן	bound	אבדון
אבדוניו	bound	אבדון
אבדוניי	bound	אבדון
אבדונייך	bound	אבדון
אבדוניך	bound	אבדון
אבדוניכם	bound	אבדון
אבדוניכן	bound	אבדון
אבדונים	plain	אבדון
אבדונינו	bound	אבדון
אבדונך	bound	אבדון
אבדונכם	bound	אבדון
אבדונכן	bound	אבדון
אבדונם	bound	אבדון
אבדונן	bound	אבדון
אבדוננו	bound	אבדון
אבדוק	plain	בדק
אבדות	plain	אבדה
אבדותיה	bound	אבדה
אבדותיהם	bound	אבדה
אבדותיהן	bound	אבדה
אבדותיו	bound	אבדה
אבדותיי	bound	אבדה
אבדותייך	bound	אבדה
אבדותיך	bound	אבדה
אבדותיכם	bound	אבדה
אבדותיכן	bound	אבדה
אבדותינו	bound	אבדה
אבדי	plain	אבד,איבד
אבדיל	plain	הבדיל
אבדל	plain	בידל,נבדל
אבדן	base	אבדן
אבדנה	plain	אבדן,איבד
אבדנו	plain	אבד,אבדן
אבדני	base	אבדן,אבדני
אבדניה	bound	אבדן
אבדניהם	bound	אבדן
אבדניהן	bound	אבדן
אבדניו	bound	אבדן
אבדניות	plain	אבדני
אבדניי	bound	אבדן,אבדני
אבדנייך	bound	אבדן
אבדניים	plain	אבדני
אבדניך	bound	אבדן
אבדניכם	bound	אבדן
אבדניכן	bound	אבדן
אבדנים	plain	אבדן
אבדנינו	bound	אבדן
אבדנית	plain	אבדני
אבדנך	bound	אבדן
אבדנכם	bound	אבדן
אבדנכן	bound	אבדן
אבדנם	bound	אבדן
אבדנן	bound	אבדן
אבדננו	bound	אבדן
אבדק	plain	נבדק
אבדר	plain	בידר
אבדת	plain	אבד,אבדה
אבדתה	bound	אבדה
אבדתו	bound	אבדה
אבדתי	plain	אבד,אבדה
אבדתך	bound	אבדה
אבדתכם	bound	אבדה
אבדתכן	bound	אבדה
אבדתם	plain	אבד,אבדה
אבדתן	plain	אבד,אבדה
אבדתנו	bound	אבדה
אבהה	plain	בהה
אבהות	base	אבהות
אבהותה	bound	אבהות
אבהותו	bound	אבהות
אבהותי	bound	אבהות
אבהותך	bound	אבהות
אבהותכם	bound	אבהות
אבהותכן	bound	אבהות
אבהותם	bound	אבהות
אבהותן	bound	אבהות
אבהותנו	bound	אבהות
אבהי	base	אבהי
אבהיות	plain	אבהי
אבהיי	bound	אבהי
אבהיים	plain	אבהי
אבהיל	plain	הבהיל
אבהיק	plain	הבהיק
אבהיר	plain	הבהיר
אבהית	plain	אבהי
אבהל	plain	נבהל
אבהק	plain	בהק
אבוא	plain	בא
אבואס	plain	בואס
אבואר	plain	בואר
אבוב	base	אבוב
אבובה	bound	אבוב
